"Year","State","Region","Milk_cows_state","Milk_per_cows_state","Milk_production_state","Milk cow","Milk per cow","Milk production"
2014,"Connecticut","Northeast",19,20158,383,9261,22249,206048
2014,"Delaware","Northeast",4.8,20104,96.5,9261,22249,206048
2014,"Maine","Northeast",30,19967,599,9261,22249,206048
2014,"Maryland","Northeast",50,19820,991,9261,22249,206048
2014,"Massachusetts","Northeast",13,17923,233,9261,22249,206048
2014,"New Hampshire","Northeast",14,20143,282,9261,22249,206048
2014,"New Jersey","Northeast",7,18143,127,9261,22249,206048
2014,"New York","Northeast",615,22340,13739,9261,22249,206048
2014,"Pennsylvania","Northeast",530,20121,10664,9261,22249,206048
2014,"Rhode Island","Northeast",0.9,19000,17.1,9261,22249,206048
2014,"Vermont","Northeast",132,20197,2666,9261,22249,206048
2014,"Michigan","Lake States",390,24638,9609,9261,22249,206048
2014,"Minnesota","Lake States",460,19841,9127,9261,22249,206048
2014,"Wisconsin","Lake States",1271,21869,27795,9261,22249,206048
2014,"Illinois","Corn Belt",94,19681,1850,9261,22249,206048
2014,"Indiana","Corn Belt",178,21669,3857,9261,22249,206048
2014,"Iowa","Corn Belt",207,22449,4647,9261,22249,206048
2014,"Missouri","Corn Belt",90,15478,1393,9261,22249,206048
2014,"Ohio","Corn Belt",267,20318,5425,9261,22249,206048
2014,"Kansas","Northern Plains",141,22085,3114,9261,22249,206048
2014,"Nebraska","Northern Plains",54,22130,1195,9261,22249,206048
2014,"North Dakota","Northern Plains",16,20250,324,9261,22249,206048
2014,"South Dakota","Northern Plains",97,21753,2110,9261,22249,206048
2014,"Kentucky","Appalachia",63,15905,1002,9261,22249,206048
2014,"North Carolina","Appalachia",46,20891,961,9261,22249,206048
2014,"Tennessee","Appalachia",46,16196,745,9261,22249,206048
2014,"Virginia","Appalachia",93,19151,1781,9261,22249,206048
2014,"West Virginia","Appalachia",9,15556,140,9261,22249,206048
2014,"Alabama","Southeast",8,13625,109,9261,22249,206048
2014,"Florida","Southeast",123,20390,2508,9261,22249,206048
2014,"Georgia","Southeast",81,20877,1691,9261,22249,206048
2014,"South Carolina","Southeast",16,16500,264,9261,22249,206048
2014,"Arkansas","Delta States",7,13857,97,9261,22249,206048
2014,"Louisiana","Delta States",15,13600,204,9261,22249,206048
2014,"Mississippi","Delta States",13,14462,188,9261,22249,206048
2014,"Oklahoma","Southern Plains",40,18150,726,9261,22249,206048
2014,"Texas","Southern Plains",463,22268,10310,9261,22249,206048
2014,"Arizona","Mountain Region",196,24000,4704,9261,22249,206048
2014,"Colorado","Mountain Region",144,24951,3593,9261,22249,206048
2014,"Idaho","Mountain Region",575,24127,13873,9261,22249,206048
2014,"Montana","Mountain Region",14,21500,301,9261,22249,206048
2014,"Nevada","Mountain Region",29,23828,691,9261,22249,206048
2014,"New Mexico","Mountain Region",323,25093,8105,9261,22249,206048
2014,"Utah","Mountain Region",95,22989,2184,9261,22249,206048
2014,"Wyoming","Mountain Region",6,21583,129.5,9261,22249,206048
2014,"California","West Coast",1780,23786,42339,9261,22249,206048
2014,"Oregon","West Coast",124,20565,2550,9261,22249,206048
2014,"Washington","West Coast",273,24088,6576,9261,22249,206048
2014,"Alaska","Other States",0.3,11667,3.5,9261,22249,206048
2014,"Hawaii","Other States",2.2,13591,29.9,9261,22249,206048
2015,"Connecticut","Northeast",19,20842,396,9320,22372,208508
2015,"Delaware","Northeast",5,19780,98.9,9320,22372,208508
2015,"Maine","Northeast",30,19800,594,9320,22372,208508
2015,"Maryland","Northeast",49,20143,987,9320,22372,208508
2015,"Massachusetts","Northeast",12,18083,217,9320,22372,208508
2015,"New Hampshire","Northeast",14,20143,282,9320,22372,208508
2015,"New Jersey","Northeast",7,18286,128,9320,22372,208508
2015,"New York","Northeast",618,22788,14083,9320,22372,208508
2015,"Pennsylvania","Northeast",530,20377,10800,9320,22372,208508
2015,"Rhode Island","Northeast",0.9,17667,15.9,9320,22372,208508
2015,"Vermont","Northeast",132,20197,2666,9320,22372,208508
2015,"Michigan","Lake States",408,25150,10261,9320,22372,208508
2015,"Minnesota","Lake States",460,20570,9462,9320,22372,208508
2015,"Wisconsin","Lake States",1279,22697,29030,9320,22372,208508
2015,"Illinois","Corn Belt",94,20149,1894,9320,22372,208508
2015,"Indiana","Corn Belt",182,21786,3965,9320,22372,208508
2015,"Iowa","Corn Belt",211,22929,4838,9320,22372,208508
2015,"Missouri","Corn Belt",88,15091,1328,9320,22372,208508
2015,"Ohio","Corn Belt",267,20614,5504,9320,22372,208508
2015,"Kansas","Northern Plains",143,22210,3176,9320,22372,208508
2015,"Nebraska","Northern Plains",57,22930,1307,9320,22372,208508
2015,"North Dakota","Northern Plains",16,20750,332,9320,22372,208508
2015,"South Dakota","Northern Plains",106,22264,2360,9320,22372,208508
2015,"Kentucky","Appalachia",61,17656,1077,9320,22372,208508
2015,"North Carolina","Appalachia",47,20957,985,9320,22372,208508
2015,"Tennessee","Appalachia",45,16489,742,9320,22372,208508
2015,"Virginia","Appalachia",91,19473,1772,9320,22372,208508
2015,"West Virginia","Appalachia",9,15667,141,9320,22372,208508
2015,"Alabama","Southeast",8,12625,101,9320,22372,208508
